,id,items,quantity_items,support,items_base,items_buy,quantity_items_base,items_add,quantity_items_add,confidence,lift
0,0,Instant_food_products hamburger_meat,2,0.00305033,Instant_food_products,,1,hamburger_meat,1,0.379746835,11.4214377
1,1,baking_powder whipped-sour_cream,2,0.004575496,baking_powder,,1,whipped-sour_cream,1,0.25862069,3.60785033
2,2,beef root_vegetables,2,0.017386884,beef,,1,root_vegetables,1,0.331395349,3.040366843
3,3,berries whipped-sour_cream,2,0.009049314,berries,,1,whipped-sour_cream,1,0.272171254,3.796885505
4,4,bottled_beer liquor,2,0.004677173,liquor,,1,bottled_beer,1,0.422018349,5.240594014
5,5,bottled_beer red-blush_wine,2,0.004880529,red-blush_wine,,1,bottled_beer,1,0.253968254,3.15375982
6,6,coffee condensed_milk,2,0.002541942,condensed_milk,,1,coffee,1,0.247524752,4.263407952
7,7,flour margarine,2,0.003762074,flour,,1,margarine,1,0.216374269,3.694515513
8,8,flour sugar,2,0.004982206,flour,,1,sugar,1,0.286549708,8.463112235
9,9,flour whipped-sour_cream,2,0.004067107,flour,,1,whipped-sour_cream,1,0.233918129,3.263240844
10,10,frankfurter mustard,2,0.002541942,mustard,,1,frankfurter,1,0.211864407,3.592562829
11,11,herbs root_vegetables,2,0.00701576,herbs,,1,root_vegetables,1,0.43125,3.956477379
12,12,popcorn salty_snack,2,0.002236909,popcorn,,1,salty_snack,1,0.309859155,8.192109647
13,13,processed_cheese white_bread,2,0.004168785,processed_cheese,,1,white_bread,1,0.251533742,5.975445304
14,14,rice root_vegetables,2,0.003152008,rice,,1,root_vegetables,1,0.413333333,3.79210199
15,15,sausage sliced_cheese,2,0.00701576,sliced_cheese,,1,sausage,1,0.286307054,3.04743493
16,16,tropical_fruit turkey,2,0.00264362,turkey,,1,tropical_fruit,1,0.325,3.097262597
17,17,UHT-milk bottled_water soda,3,0.002846975,UHT-milk soda,,2,bottled_water,1,0.373333333,3.377859552
18,18,baking_powder other_vegetables root_vegetables,3,0.002541942,baking_powder other_vegetables,,2,root_vegetables,1,0.347222222,3.185569548
19,18,baking_powder other_vegetables root_vegetables,3,0.002541942,baking_powder root_vegetables,,2,other_vegetables,1,0.714285714,3.691539674
20,19,baking_powder other_vegetables whipped-sour_cream,3,0.002440264,baking_powder other_vegetables,,2,whipped-sour_cream,1,0.333333333,4.650118203
21,20,baking_powder other_vegetables whole_milk,3,0.00437214,baking_powder,,1,other_vegetables whole_milk,2,0.247126437,3.302294165
22,21,baking_powder whipped-sour_cream whole_milk,3,0.00264362,baking_powder whole_milk,,2,whipped-sour_cream,1,0.285714286,3.985815603
23,22,beef bottled_water root_vegetables,3,0.002440264,beef bottled_water,,2,root_vegetables,1,0.393442623,3.609615855
